smiles,Kode-1,Kode-2
CC[C@@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,C85889019,P134471292
CC[C@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,C85889027,P134471304
CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,C94303310,P147804053
CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,C94303311,P147804054
CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,C94303312,P147804055
CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,C94303313,P147804056
c1ccc(cc1)CC[C@@H](C(=O)[O-])[NH2+][C@@H](CCCCNC(=O)[C@H](CCc2ccccc2)N[C@@H](CCCC[NH3+])C(=O)N3CCC[C@@H]3C(=O)[O-])C(=O)N4CCC[C@@H]4C(=O)[O-],C94307042,P147807864
c1ccc(cc1)CC[C@@H](C(=O)NCCCC[C@@H](C(=O)N2CCC[C@@H]2C(=O)[O-])[NH2+][C@@H](CCc3ccccc3)C(=O)[O-])[NH2+][C@@H](CCCC[NH3+])C(=O)N4CCC[C@@H]4C(=O)[O-],C94307042,P147808042
CC(C)C[C@@H](C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CC(=O)O)C(=O)Nc2ccc3c(cc(=O)oc3c2)C(F)(F)F)NC(=O)C,C97943363,P155499863
c1ccc2cc(ccc2c1)NC(=O)[C@H](CSSC[C@@H](C(=O)Nc3ccc4ccccc4c3)NC(=O)CC[C@@H](C(=O)[O-])[NH3+])NC(=O)CC[C@@H](C(=O)[O-])[NH3+],C98216813,P156201306
CC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CC(=O)[O-])C(=O)Nc4ccc5c(cc(=O)oc5c4)C(F)(F)F,C98216843,P156201348
c1ccc(cc1)C[C@@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)[O-])NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H]4CCCN4C(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98217022,P156201651
