"AverageShortestPathLength","BetweennessCentrality","cl1.Status","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.2363636363636363","2.7070165341327464E-4","Outlier","0.3089887640449438","0.0","3","5","false","NCKAP1","6.666666666666667","0","3","0","0.9633383010432192","false","0","NCKAP1","34","0.37777777777777777"
"2.83030303030303","2.3146469344460734E-4","Cluster","0.3533190578158458","0.3333333333333333","3","5","false","COQ2","20.333333333333332","0","3","0","0.9699950322901143","false","0","COQ2","38","0.4166666666666667"
"2.787878787878788","0.0","Outlier","0.358695652173913","1.0","3","5","false","CD244","29.0","0","3","0","0.9706905116741182","false","0","CD244","0","0.46774193548387094"
"2.587878787878788","0.0016541591911188962","Cluster","0.3864168618266979","0.6666666666666666","10","5","false","HLA-DQB1","19.7","0","10","0","0.9739692001987085","false","0","HLA-DQB1","540","0.2662162162162162"
"2.503030303030303","0.0012122563710522908","Overlap","0.39951573849878935","0.5909090909090909","12","5","false","CCR2","23.083333333333332","0","12","0","0.9753601589667164","true","0","CCR2","294","0.28854166666666664"
"2.2848484848484847","0.003676087638056501","Outlier","0.43766578249336874","0.5274725274725275","14","4","false","PRKCD","26.928571428571427","0","14","0","0.9789369100844512","false","0","PRKCD","1128","0.2470511140235911"
"2.5454545454545454","2.986564418565013E-4","Cluster","0.39285714285714285","0.7142857142857143","8","5","false","CASP7","29.125","0","8","0","0.9746646795827123","true","0","CASP7","156","0.3595679012345679"
"2.4060606060606062","0.002048343327456275","Overlap","0.41561712846347604","0.5641025641025641","13","4","false","FAS","25.923076923076923","0","13","0","0.976949826130154","true","0","FAS","606","0.2817725752508361"
"2.206060606060606","0.012292584998056568","Cluster","0.4532967032967033","0.43790849673202614","18","4","false","HSPA1A","25.166666666666668","0","18","0","0.9802285146547443","false","0","HSPA1A","3312","0.21695402298850575"
"2.3575757575757574","0.018771739904281926","Outlier","0.42416452442159386","0.45","16","5","false","SOD2","23.8125","0","16","0","0.9777446597118729","false","0","SOD2","3974","0.24053030303030304"
"2.4363636363636365","0.015101416060475353","Outlier","0.4104477611940298","0.4222222222222222","10","5","false","HDAC2","21.6","0","10","0","0.9764530551415798","false","0","HDAC2","2314","0.23225806451612904"
"2.6484848484848484","5.701044462429991E-4","Outlier","0.37757437070938216","0.5238095238095238","7","4","false","MAPK10","23.428571428571427","0","7","0","0.9729756582215598","false","0","MAPK10","150","0.3346938775510204"
"2.890909090909091","8.570937940795205E-4","Outlier","0.34591194968553457","0.6666666666666666","3","5","false","GLUL","20.333333333333332","0","3","0","0.9690014903129657","false","0","GLUL","218","0.45185185185185184"
"2.309090909090909","0.006309674914214233","Cluster","0.4330708661417323","0.48484848484848486","12","4","false","SHH","26.0","0","12","0","0.9785394932935916","false","0","SHH","1472","0.24074074074074073"
"2.5090909090909093","6.096255296830975E-4","Cluster","0.39855072463768115","0.6428571428571429","8","5","false","TNFRSF21","24.875","0","8","0","0.9752608047690015","true","0","TNFRSF21","224","0.2926470588235294"
"2.5515151515151517","0.003151645188480611","Outlier","0.3919239904988123","0.5714285714285714","7","5","false","CASP6","25.0","0","7","0","0.9745653253849975","false","0","CASP6","532","0.30687830687830686"
"2.2303030303030305","0.014772201976300074","Cluster","0.4483695652173913","0.4057971014492754","24","4","false","CASP8","21.333333333333332","0","24","0","0.9798310978638847","true","0","CASP8","3240","0.20086477987421383"
"2.503030303030303","0.0014104296244692922","Overlap","0.39951573849878935","0.7454545454545455","11","5","false","IL1A","27.90909090909091","0","11","0","0.9753601589667164","true","0","IL1A","396","0.33225108225108224"
"2.7454545454545456","3.0657576854574046E-4","Cluster","0.36423841059602646","0.6666666666666666","4","5","false","CAPN2","25.25","0","4","0","0.9713859910581223","true","0","CAPN2","60","0.4353448275862069"
"3.56969696969697","0.012269031781226902","Outlier","0.2801358234295416","0.0","3","5","false","CTNNA3","3.0","0","3","0","0.9578738201689021","false","0","CTNNA3","1710","0.3333333333333333"
"2.393939393939394","0.011690565685526202","Outlier","0.4177215189873418","0.28888888888888886","10","4","false","PLAU","23.9","0","10","0","0.9771485345255837","false","0","PLAU","2018","0.25824175824175827"
"2.8545454545454545","0.01047613745835184","Outlier","0.35031847133757965","0.0","3","5","false","CALHM1","14.333333333333334","0","3","0","0.9695976154992549","false","0","CALHM1","1250","0.3333333333333333"
"1.0","0.0","Outlier","1.0","0.0","1","1","false","PAXIP1","1.0","0","1","0","1.0","false","0","PAXIP1","0","0.0"
"1.0","0.0","Outlier","1.0","0.0","1","1","false","CACUL1","1.0","0","1","0","1.0","false","0","CACUL1","0","0.0"
"2.6","0.014621348077262822","Outlier","0.3846153846153846","0.24242424242424243","12","5","false","NEFL","11.916666666666666","0","12","0","0.9737704918032787","false","0","NEFL","1948","0.17524509803921567"
"2.242424242424242","0.00822940187574159","Cluster","0.445945945945946","0.4619883040935672","19","5","false","SQSTM1","24.526315789473685","0","19","0","0.9796323894684551","false","0","SQSTM1","2466","0.21514312096029548"
"2.3393939393939394","0.009735292312457594","Cluster","0.4274611398963731","0.41830065359477125","18","5","false","PARK2","18.61111111111111","0","18","0","0.9780427223050174","false","0","PARK2","2094","0.1899092970521542"
"2.3212121212121213","0.050545017276909465","Cluster","0.4308093994778068","0.23529411764705882","18","4","false","VCP","13.722222222222221","0","18","0","0.978340784898162","false","0","VCP","7500","0.140625"
"2.2484848484848485","0.032776134673281866","Cluster","0.444743935309973","0.2898550724637681","24","4","false","HTT","17.0","0","24","0","0.9795330352707402","false","0","HTT","5644","0.15998427672955975"
"2.503030303030303","0.005427034669269276","Cluster","0.39951573849878935","0.5111111111111111","10","5","false","C9orf72","19.4","0","10","0","0.9753601589667164","false","0","C9orf72","984","0.22823529411764706"
"2.5393939393939395","0.016111963016931623","Cluster","0.39379474940334125","0.4727272727272727","11","5","false","HLA-A","17.0","0","11","0","0.9747640337804272","false","0","HLA-A","1744","0.22727272727272727"
"2.6121212121212123","1.268255032159814E-4","Cluster","0.382830626450116","0.6666666666666666","4","5","false","CR1","28.25","0","4","0","0.973571783407849","false","0","CR1","40","0.386986301369863"
